PSET1,PSET2,PSET3,PSET4,PSET5,PSET6,QUIZ1,QUIZ2,FINAL,PSET_ZEROS,QUIZ_ZEROS,FALL,MALE,YEAR,COURSE_6,COURSE_8,COURSE_18,GRADE
-4.370212766,-3.976329787,-3.885638298,-4.061170213,-4.111702128,-4.003723404,-1.001773042,-4.984042554,-17.49379433,6,1,1,0,4,0,0,1,1
-4.260862069,-4.212413793,-4.267844828,-4.24362069,-4.15,-3.904310345,-2.294827583,-3.309195402,-6.514942525,6,0,0,1,3,1,0,0,1
-0.670212766,-3.976329787,-3.885638298,-4.061170213,-4.111702128,-4.003723404,-1.001773042,-3.650709214,-11.82712766,5,0,1,0,2,0,0,0,1
-0.510862069,-4.212413793,-0.167844828,-4.24362069,-4.15,-3.904310345,-13.46149425,-5.975862069,-5.348275865,4,1,0,1,2,1,0,0,1
-3.220212766,-3.976329787,0.814361702,-4.061170213,-4.111702128,-4.003723404,-8.168439722,-8.984042554,-14.32712765,4,0,1,1,1,1,0,0,1
-4.180617978,-4.309404911,-4.339617978,-3.619402452,-0.019571963,-1.279494382,-3.125305326,-0.692883895,-3.977342881,4,0,1,1,5,1,0,0,1
-1.210862069,-3.962413793,-4.267844828,-4.24362069,-4.15,-3.904310345,-0.628160923,-1.642528732,-6.848275865,4,0,0,1,3,0,0,0,1
0.319382022,-2.56866417,-3.089617978,-3.619402452,-4.162429106,-4.079494382,2.961651194,-1.137328335,1.132547229,3,0,1,1,2,0,0,1,1
0.046794872,-1.450641026,-1.717307692,-4.127884615,-3.813461538,-4.008974359,3.149572643,4.217948725,5.233974362,3,0,0,0,2,0,0,1,2
-0.253205128,-2.000641026,-1.867307692,-4.127884615,-3.813461538,-4.008974359,-3.850427357,-3.282051275,-7.432692298,3,0,0,0,2,1,0,1,1
-0.610862069,-4.212413793,0.532155172,-0.04362069,-4.15,-3.904310345,0.705172417,0.857471268,1.151724135,3,0,0,1,2,0,0,1,2
0.189137931,-1.812413793,0.432155172,-4.24362069,-4.15,-3.904310345,0.871839077,-2.809195402,-0.014942525,3,0,0,1,2,1,0,0,1
-1.210862069,-4.212413793,-3.267844828,-1.84362069,-4.15,-3.904310345,-3.62816092,-9.642528735,-14.84827586,3,0,0,1,5,1,0,0,1
0.089137931,-0.062413793,-0.117844828,-0.49362069,-4.15,-3.904310345,-3.294827583,-13.8091954,-7.014942525,2,1,0,0,3,0,0,0,1
0.339137931,0.187586207,-1.017844828,-0.94362069,-4.15,-3.904310345,-3.62816092,-6.142528735,-21.6816092,2,1,0,0,2,1,0,0,1
0.529787234,-3.976329787,-3.885638298,-1.961170213,-2.761702128,-0.253723404,-1.335106382,2.849290786,3.506205673,2,0,1,1,2,0,0,0,1
0.329787234,-3.976329787,-3.885638298,-2.261170213,-1.261702128,0.396276596,-4.001773042,-3.817375894,2.006205673,2,0,1,1,4,1,0,0,1
-4.370212766,-3.976329787,-0.735638298,-0.361170213,-0.161702128,0.396276596,-5.501773042,-2.984042554,-0.160460987,2,0,1,0,3,1,0,0,1
-1.980617978,-1.161256763,-0.339617978,-1.210311543,-4.162429106,-4.079494382,-3.125305326,-1.803995005,3.769909869,2,0,1,1,2,1,0,0,2
-0.603205128,-0.550641026,0.182692308,-4.127884615,-1.563461538,-4.008974359,-4.017094017,-0.782051275,-2.266025638,2,0,0,1,3,1,0,0,1
-4.503205128,-4.250641026,0.132692308,0.772115385,0.286538462,0.091025641,-5.683760677,-2.115384615,-6.932692318,2,0,0,1,1,1,0,0,1
0.139137931,-1.262413793,-2.617844828,-0.84362069,-4.15,-3.904310345,2.205172417,1.857471268,1.318390805,2,0,0,1,2,1,0,0,2
-4.260862069,-4.212413793,-1.267844828,-0.14362069,0.05,-0.504310345,-1.961494253,2.524137928,0.151724135,2,0,0,1,4,1,0,0,2
0.229787234,-3.976329787,-0.685638298,-0.111170213,0.638297872,0.496276596,-2.835106382,3.515957446,-6.827127647,1,0,1,1,2,1,0,0,1
-1.270212766,-2.626329787,-2.535638298,-4.061170213,-3.461702128,-2.353723404,-1.168439722,-3.984042554,-6.660460997,1,0,1,0,2,1,0,0,1
-0.670212766,-2.026329787,-0.935638298,-1.961170213,-4.111702128,-2.503723404,-5.335106382,-5.150709214,-7.660460987,1,0,1,1,4,0,0,1,1
0.269382022,-4.309404911,-1.539617978,-1.301220634,0.710904227,-2.079494382,1.222520764,1.307116105,-2.823496731,1,0,1,0,2,1,0,0,2
0.219382022,-0.976071578,0.460382022,-3.619402452,0.090904227,0.820505618,-0.299218366,-1.359550565,-5.460859361,1,0,1,0,3,1,0,0,2
-1.030617978,-0.050145652,-1.689617978,-3.619402452,0.789951846,-2.129494382,-1.168783586,1.973782775,-3.812507721,1,0,1,1,2,1,0,0,2
-1.930617978,-0.272367874,0.360382022,-1.119402452,-4.162429106,-1.329494382,-1.603566196,-1.803995005,0.967712059,1,0,1,1,2,1,0,0,2
0.719382022,-0.605701207,-0.139617978,-1.619402452,0.370904227,-4.079494382,-0.516609676,-3.803995005,-1.504815411,1,0,1,1,3,1,0,0,2
0.319382022,-1.56866417,-0.580117978,-0.973493361,-1.781476725,-4.079494382,-0.081827066,-1.359550565,-2.493826401,1,0,1,1,2,1,0,0,2
-2.080617978,-0.124219726,-1.689617978,-3.619402452,-2.019571963,-1.279494382,1.439912064,1.307116105,-4.636683541,1,0,1,0,2,1,0,0,2
0.719382022,-1.087182689,0.460382022,-3.619402452,-0.399571963,0.220505618,-2.907914016,-5.803995006,-3.812507721,1,0,1,1,3,1,0,0,1
0.419382022,-0.753849355,0.510382022,-3.619402452,0.028047084,0.220505618,-3.994870546,-2.915106115,-6.779540681,1,0,1,0,3,1,0,0,1
-4.180617978,0.209113608,-0.684617978,0.835143003,-2.257667201,-1.129494382,-4.647044455,-0.692883895,-5.296024201,1,0,1,1,3,1,0,0,1
-0.480617978,-1.1982938,-0.689617978,-3.619402452,-2.257667201,-2.179494382,-2.690522716,-2.692883895,-4.307013211,1,0,1,1,3,1,0,0,1
-1.730617978,-0.605701207,-0.077117978,-1.164856997,-2.924333868,-4.079494382,-2.690522716,-2.915106115,-5.296024201,1,0,1,1,2,1,0,0,1
-1.330617978,-1.087182689,-0.589617978,-1.755766088,-1.829095773,-4.079494382,-1.820957496,-4.915106117,-11.72459563,1,0,1,1,4,0,0,0,1
-0.103205128,-4.250641026,0.182692308,0.772115385,1.186538462,0.041025641,1.649572643,-0.448717955,4.233974372,1,0,0,1,1,0,0,1,3
0.196794872,-0.100641026,-0.017307692,-4.127884615,-0.563461538,0.191025641,-1.850427357,0.051282045,-2.766025648,1,0,0,1,2,1,0,0,2
-0.703205128,-1.250641026,-0.217307692,0.422115385,-2.313461538,-4.008974359,0.316239323,-3.948717955,-5.432692318,1,0,0,1,3,1,0,0,1
0.146794872,0.699358974,0.382692308,-0.627884615,-3.813461538,0.491025641,-4.517094017,-4.615384615,-7.266025648,1,0,0,1,2,1,0,0,1
-1.103205128,-1.950641026,-2.317307692,0.522115385,-1.863461538,-4.008974359,-1.350427357,-4.448717955,-4.432692298,1,0,0,1,1,1,0,0,1
0.246794872,-1.650641026,0.182692308,0.372115385,-2.463461538,-4.008974359,-2.517094017,-5.948717955,-7.432692298,1,0,0,1,5,1,0,0,1
-0.103205128,-1.150641026,-4.417307692,-1.627884615,-1.663461538,-2.058974359,-4.517094017,-4.948717955,-7.432692298,1,0,0,1,3,1,0,0,1
-1.403205128,-2.300641026,-4.417307692,-3.127884615,-2.713461538,-3.008974359,-7.350427357,-4.282051275,-9.599358988,1,0,0,1,4,1,0,0,1
0.280303031,-0.022378182,0.369804194,-0.349242422,-4.404132232,0.019405596,-0.770909091,-3.55,-5.658041965,1,0,0,0,3,1,0,0,1
0.280303031,0.217621818,-1.130195806,-0.182575757,-2.404132232,-4.13444056,-1.570909091,-1.05,-5.196503485,1,0,0,1,2,0,0,0,1
-4.260862069,0.437586207,0.532155172,0.35637931,0.7,0.895689655,5.371839077,3.524137928,5.985057475,1,0,0,1,1,1,0,0,3
-4.260862069,0.487586207,0.032155172,-2.24362069,0.2,-1.904310345,5.538505747,3.690804598,6.318390805,1,0,0,1,3,0,0,1,3
-4.260862069,0.687586207,0.582155172,0.25637931,0.5,0.795689655,1.538505747,1.524137928,4.485057475,1,0,0,0,5,0,0,0,3
-4.260862069,0.437586207,0.232155172,0.70637931,0.6,0.295689655,0.705172417,3.190804598,2.318390805,1,0,0,1,2,1,0,0,3
-4.260862069,0.337586207,0.732155172,-0.84362069,-2.15,0.895689655,4.705172417,0.190804598,4.151724135,1,0,0,1,1,1,0,0,2
0.639137931,0.287586207,0.232155172,0.55637931,0.3,-3.904310345,-0.128160923,0.690804598,0.818390805,1,0,0,1,2,0,0,1,2
